*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=DAC Version B 1.0.4_Fill
*Date=07:41:00
*CreatedBy=Fritzing 0.9.3b.04.19.5c895d327c44a3114e5fcc9d8260daf0cbb52806
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
1;;;25.3492;-84.5226;0;Bottom;Copper Fill114
2;;;28.9052;-5.7064;0;Bottom;Copper Fill143
3;;;27.1526;-45.7622;0;Bottom;Copper Fill64
4;;;33.8582;-60.3672;0;Bottom;Copper Fill48
5;;;4.7498;-92.6252;0;Bottom;Copper Fill20
6;;;20.3962;-94.2;0;Bottom;Copper Fill100
7;;;18.6182;-101.21;0;Bottom;Copper Fill11
8;;;15.8986;-11.8618;0;Bottom;Via20
9;;;28.448;-18.635;0;Bottom;Copper Fill78
10;;;4.9022;-72.0766;0;Bottom;Copper Fill120
11;;;23.8506;-72.7116;0;Bottom;Copper Fill36
12;;to-92;29.768;-92.8947;180;Bottom;Q1
13;;;7.9502;-72.6862;0;Bottom;Copper Fill41
14;;;12.0872;-97.9919;0;Bottom;Via5
15;;;17.145;-9.2878;0;Bottom;Copper Fill80
16;;;14.986;-37.2024;0;Bottom;Copper Fill67
17;;;11.43;-27.0932;0;Bottom;Copper Fill138
18;;;11.3284;-75.5818;0;Bottom;Copper Fill37
19;100;THT;6.32573;-25.3319;180;Bottom;R27
20;;THT;6.02065;-75.879;0;Bottom;Interface Pots
21;;;32.6898;-51.1724;0;Bottom;Copper Fill60
22;;THT;12.6294;-9.03944;180;Bottom;CV Out
23;;;30.9626;-102.176;0;Bottom;Copper Fill13
24;;;19.1008;-102.836;0;Bottom;Copper Fill8
25;;THT;6.14511;-62.956;-180;Bottom;Power and I2C Header
26;;;10.0076;-48.5054;0;Bottom;Copper Fill63
27;;;26.0096;-44.1874;0;Bottom;Copper Fill65
28;100k;THT;31.0743;-98.5495;-135;Bottom;R3
29;;;24.1046;-73.2196;0;Bottom;Copper Fill123
30;;;18.2504;-35.9918;0;Bottom;Via27
31;;to-92;29.8738;-107.888;180;Bottom;Q2
32;;;29.8704;-56.6842;0;Bottom;Copper Fill54
33;;;26.2128;-91.2028;0;Bottom;Copper Fill22
34;;;19.2786;-54.4744;0;Bottom;Copper Fill127
35;;;25.3746;-87.1388;0;Bottom;Copper Fill112
