*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=DAC Version B 1.0.5_Filled
*Date=14:41:41
*CreatedBy=Fritzing 0.9.3b.04.19.5c895d327c44a3114e5fcc9d8260daf0cbb52806
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
1;;;26.9494;-86.4022;0;Bottom;Copper Fill25
2;;;4.41809;-11.9792;0;Bottom;Via17
3;;;27.7114;-73.2958;0;Bottom;Copper Fill36
4;;;30.0736;-20.4892;0;Bottom;Copper Fill65
5;;;23.7998;-74.1086;0;Bottom;Copper Fill32
6;;;29.8196;-10.7737;0;Bottom;Copper Fill170
7;;;4.7117;-40.7584;0;Bottom;Copper Fill175
8;;;2.667;-31.3858;0;Bottom;Copper Fill130
9;100nF;100 mil [THT, multilayer];10.0429;-53.3289;-64.6153;Bottom;C2
10;;;18.3642;-72.5592;0;Bottom;Copper Fill113
11;;;15.0114;-78.8076;0;Bottom;Copper Fill108
12;100k;THT;30.9656;-66.4804;-142.713;Bottom;R5
13;;THT;4.74133;-42.8779;0;Bottom;+7-12V
14;;;25.4254;-71.9242;0;Bottom;Copper Fill112
15;;;12.7762;-109.872;0;Bottom;Copper Fill3
16;;;14.5815;-27.5251;0;Bottom;Via37
17;100;THT;6.14567;-29.7997;180;Bottom;R25
18;;;12.192;-4.0046;0;Bottom;Copper Fill72
19;;;4.699;-92.5236;0;Bottom;Copper Fill23
20;;;15.3105;-88.979;0;Bottom;Via8
21;;;29.2989;-10.253;0;Bottom;Copper Fill88
22;;;29.2862;-32.224;0;Bottom;Copper Fill129
23;;;8.48674;-32.0975;0;Bottom;TXT3
24;;;33.5788;-3.1029;0;Bottom;Copper Fill80
25;;;19.0733;-68.6903;0;Bottom;Via22
26;;THT;6.14511;-62.956;-180;Bottom;Power and I2C Header
27;;;27.051;-9.618;0;Bottom;Copper Fill76
28;;;6.5278;-36.6309;0;Bottom;Copper Fill172
29;;;10.033;-24.477;0;Bottom;Copper Fill133
30;;;16.7894;-17.9873;0;Bottom;Copper Fill90
31;;;32.7025;-2.2266;0;Bottom;Copper Fill79
32;;;20.3962;-96.613;0;Bottom;Copper Fill101
33;;;20.3962;-103.496;0;Bottom;Copper Fill10
34;100k;THT;30.9736;-80.1137;-135;Bottom;R1
35;;;15.0876;-52.9504;0;Bottom;Copper Fill121
36;;;19.5326;-28.4013;0;Bottom;Copper Fill161
37;;;17.9681;-39.9429;0;Bottom;Via38
38;;;23.8252;-4.538;0;Bottom;Copper Fill147
39;;;10.7442;-93.184;0;Bottom;Copper Fill104
40;;;23.8252;-4.538;0;Bottom;Copper Fill73
41;;THT;8.99273;-92.1282;0;Bottom;J3
42;;;5.715;-47.337;0;Bottom;Copper Fill55
43;;;15.3162;-109.872;0;Bottom;Copper Fill4
44;;;4.445;-95.4192;0;Bottom;Copper Fill17
45;;;28.7782;-10.7737;0;Bottom;Copper Fill169
46;;;30.5816;-57.751;0;Bottom;Copper Fill51
47;;;22.7893;-64.0023;0;Bottom;Via28
48;5V;to-92;5.47511;-51.4574;90;Bottom;78L05
49;;;31.3309;-91.0758;0;Bottom;Copper Fill151
50;;;9.45435;-61.5797;0;Bottom;Via25
51;;;4.7752;-97.1972;0;Bottom;Copper Fill94
52;;;28.1178;-15.1044;0;Bottom;Copper Fill67
53;;;20.066;-67.8094;0;Bottom;Copper Fill42
54;;;22.1234;-80.6618;0;Bottom;Copper Fill28
55;;;17.3101;-17.4666;0;Bottom;Copper Fill89
56;;;32.3342;-75.2897;0;Bottom;Copper Fill150
57;;;1.80612;-88.2593;0;Bottom;Via12
58;;;11.2522;-9.4656;0;Bottom;Copper Fill70
59;;;33.9217;-46.9052;0;Bottom;Copper Fill82
60;;;30.2919;-32.1346;0;Bottom;Via15
61;;;12.4206;-36.0086;0;Bottom;Copper Fill125
62;100;THT;15.4955;-13.8842;-145.096;Bottom;R29
63;;;11.0998;-2.2266;0;Bottom;Copper Fill77
64;;;21.0185;-45.9908;0;Bottom;Copper Fill86
65;;;16.2052;-66.8442;0;Bottom;Copper Fill114
66;;;12.446;-65.4218;0;Bottom;Copper Fill43
67;100;THT;18.7206;-8.15919;180;Bottom;R30
68;;;11.4808;-102.303;0;Bottom;Copper Fill11
69;;;34.7218;-102.569;0;Bottom;Copper Fill78
70;;;22.2758;-41.1902;0;Bottom;Copper Fill122
71;;;29.6672;-67.149;0;Bottom;Copper Fill115
72;;;4.8641;-53.6362;0;Bottom;Copper Fill149
73;;;21.0312;-3.4204;0;Bottom;Copper Fill74
74;;;16.8656;-79.4426;0;Bottom;Copper Fill107
75;;;3.5306;-9.9228;0;Bottom;Copper Fill140
76;;;5.8166;-86.1482;0;Bottom;Copper Fill106
77;;;8.9916;-74.134;0;Bottom;Copper Fill37
78;;THT;29.1394;-53.4894;-90;Bottom;J2
79;;;11.4784;-104.195;0;Bottom;Via4
80;;;28.9052;-37.3802;0;Bottom;Copper Fill61
81;;;13.2842;-31.4366;0;Bottom;Copper Fill69
82;;;17.5514;-66.3616;0;Bottom;Copper Fill46
83;;;27.2369;-19.8839;0;Bottom;Via16
84;100;THT;18.7108;-3.42181;180;Bottom;R32
85;;;6.1214;-42.892;0;Bottom;Copper Fill56
86;;;33.8074;-79.0362;0;Bottom;Copper Fill33
87;;;20.3962;-109.872;0;Bottom;Copper Fill6
88;100k;THT;29.9068;-49.879;180;Bottom;R7
89;;THT;14.0304;-98.5039;0;Bottom;J7
90;;to-92;30.287;-74.7066;180;Bottom;Q3
91;;;17.8562;-109.872;0;Bottom;Copper Fill5
92;;;19.177;-56.1;0;Bottom;Copper Fill120
93;;;14.5034;-71.213;0;Bottom;Copper Fill39
94;;;10.2362;-109.897;0;Bottom;Copper Fill95
95;;;2.1082;-89.755;0;Bottom;Copper Fill105
96;;THT;24.1904;-92.1539;0;Bottom;j4
97;;;21.6916;-67.4538;0;Bottom;Copper Fill44
98;;;1.21741;-103.632;90;Bottom;TXT1
99;;;6.5278;-39.1709;0;Bottom;Copper Fill174
100;;;4.7752;-102.531;0;Bottom;Copper Fill1
101;;;23.4442;-65.0662;0;Bottom;Copper Fill117
102;;;20.4142;-62.309;0;Bottom;Via9
103;33k;THT;30.1789;-47.7067;0;Bottom;R8
104;;;19.4921;-51.4762;0;Bottom;Via36
105;;THT;6.02065;-75.879;0;Bottom;Interface Pots
106;;;11.2522;-12.0056;0;Bottom;Copper Fill68
107;;;34.7218;-102.569;0;Bottom;Copper Fill154
108;;;24.9428;-62.6278;0;Bottom;Copper Fill49
109;;;13.0302;-31.1318;0;Bottom;Copper Fill128
110;;;7.5184;-77.0804;0;Bottom;Copper Fill34
111;;;32.893;-65.8028;0;Bottom;Copper Fill47
112;;;35.2806;-66.4505;0;Bottom;Copper Fill158
113;;;24.6591;-28.4423;0;Bottom;Via40
114;;DIP (Dual Inline) [THT];6.06326;-11.1781;0;Bottom;CV Output Buffer
115;;THT;16.5704;-108.644;90;Bottom;J6
116;;;28.702;-82.3128;0;Bottom;Copper Fill111
117;;THT;21.0411;-58.7489;-90;Bottom;Expander Header
118;;;33.7566;-95.5589;0;Bottom;Copper Fill160
119;;;1.97546;-91.3073;0;Bottom;Via11
120;;;30.4819;-17.2186;0;Bottom;Via14
121;;;3.5306;-7.3828;0;Bottom;Copper Fill142
122;;;29.972;-58.6908;0;Bottom;Copper Fill118
123;;;25.654;-27.9822;0;Bottom;Copper Fill145
124;;;22.9108;-109.872;0;Bottom;Copper Fill100
125;;;18.796;-96.7908;0;Bottom;Copper Fill18
126;33k;THT;31.5855;-83.1214;45;Bottom;R2
127;;;18.4245;-98.3674;0;Bottom;Via23
128;;;10.8966;-39.1709;0;Bottom;Copper Fill91
129;;;4.2926;-22.6482;0;Bottom;Copper Fill64
130;;;12.2682;-99.8896;0;Bottom;Copper Fill15
131;;;17.4498;-34.6624;0;Bottom;Copper Fill57
132;;;11.0303;-90.3328;0;Bottom;Via3
133;;;9.7409;-49.0134;0;Bottom;Copper Fill176
134;100k;THT;30.6409;-94.6488;-148.23;Bottom;R3
135;;;15.8877;-61.0022;0;Bottom;Copper Fill173
136;;THT;12.6294;-23.6444;180;Bottom;CV in
137;;;32.1564;-90.2249;0;Bottom;Copper Fill152
138;;;22.9362;-84.4464;0;Bottom;Copper Fill110
139;;;14.3932;-69.0823;0;Bottom;Via33
140;;;5.9436;-53.9918;0;Bottom;Copper Fill52
141;;;18.9738;-102.887;0;Bottom;Copper Fill12
142;;;22.0218;-75.7342;0;Bottom;Copper Fill27
143;100;THT;6.41604;-23.1108;180;Bottom;R28
144;;;10.4394;-61.18;0;Bottom;Copper Fill50
145;;;12.2337;-105.999;0;Bottom;Via2
