*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=Interface_VersionB_1.0.5_Filled
*Date=13:26:25
*CreatedBy=Fritzing 0.9.3b.04.19.5c895d327c44a3114e5fcc9d8260daf0cbb52806
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
1;;;15.748;-14.7148;0;Bottom;Copper Fill78
2;;;5.2578;-14.6132;0;Bottom;Copper Fill82
3;;;27.0002;-41.8801;0;Bottom;Copper Fill74
4;;;16.8393;-20.5723;0;Bottom;Hole39
5;;PG203J [THT];6.09667;-19.8752;0;Bottom;PJ3
6;;;20.0755;-64.5141;0;Bottom;Via5
7;;;22.2885;-81.1993;0;Bottom;Copper Fill92
8;;;18.0086;-30.2723;0;Bottom;Copper Fill73
9;100k;THT;10.5726;-72.4072;90;Bottom;R25
10;;PG203J [THT];30.109;-9.48008;180;Bottom;PJ12
11;;PG203J [THT];6.2849;-33.6101;180;Bottom;PJ2
12;;;15.4178;-41.588;0;Bottom;Copper Fill104
13;;THT;11.8767;-86.3004;0;Bottom;R2
14;;;29.083;-14.8164;0;Bottom;Copper Fill75
15;;;34.798;-79.3832;0;Bottom;Copper Fill46
16;;PG203J [THT];16.4449;-44.2168;0;Bottom;PJ5
17;;;16.51;-29.6881;0;Bottom;Copper Fill33
18;;;25.4889;-81.2501;0;Bottom;Copper Fill47
19;;;34.0614;-94.1786;0;Bottom;Copper Fill15
20;66k;THT;34.091;-83.1737;90;Bottom;R30
21;;;29.9156;-32.7312;0;Bottom;Hole17
22;;;21.1074;-91.0037;0;Bottom;Copper Fill62
23;;;3.48082;-108.249;0;Bottom;Hole45
24;;;33.1216;-26.6147;0;Bottom;Copper Fill34
25;;;11.5062;-59.8252;0;Bottom;Copper Fill59
26;;;31.115;-71.3441;0;Bottom;Copper Fill25
27;;PG203J [THT];16.6329;-19.9692;0;Bottom;PJ7
28;;THT;9.01151;-98.7647;180;Bottom;R1
29;;;15.5194;-12.0732;0;Bottom;Copper Fill51
30;;;16.4973;-35.3015;0;Bottom;Copper Fill57
31;;;2.2352;-104.491;0;Bottom;Copper Fill6
32;;;33.1724;-98.903;0;Bottom;Copper Fill11
33;;THT;29.8509;-75.228;0;Bottom;P
34;;;7.8994;-88.8828;0;Bottom;Copper Fill77
35;;;32.893;-106.421;0;Bottom;Copper Fill5
36;;;34.0614;-110.028;0;Bottom;Copper Fill4
37;;THT;3.38667;-65.2574;0;Bottom;USB Breakout
38;;PG203J [THT];29.9916;-33.6101;180;Bottom;PJ10
39;;;17.526;-14.7148;0;Bottom;Copper Fill79
40;;;4.9022;-56.9169;0;Bottom;Copper Fill30
41;;;27.3685;-84.7807;0;Bottom;Copper Fill96
42;;;9.8044;-82.8756;0;Bottom;Copper Fill70
43;;;17.4498;-109.673;0;Bottom;Copper Fill2
44;;;5.2578;-14.6132;0;Bottom;Copper Fill45
45;;;7.0866;-38.794;0;Bottom;Copper Fill85
46;;;22.2885;-81.1993;0;Bottom;Copper Fill49
47;;;11.6078;-83.7901;0;Bottom;Copper Fill19
48;;;10.16;-101.138;0;Bottom;Copper Fill8
49;;;21.1582;-91.4355;0;Bottom;Copper Fill16
50;;THT;23.4244;-8.38962;180;Bottom;CV OUT HEADER
51;;;18.0086;-51.3288;0;Bottom;Copper Fill40
52;;;3.8354;-28.9769;0;Bottom;Copper Fill32
53;;;21.3614;-83.663;0;Bottom;Copper Fill24
54;;;33.7312;-77.8719;0;Bottom;Copper Fill69
55;;DIP (Dual Inline) [THT];26.1603;-101.459;0;Bottom;INPUT SCALER
56;100k;THT;3.99203;-84.6619;90;Bottom;R28
57;100k;THT;33.4762;-93.5122;99.81;Bottom;R37
58;;;27.5082;-91.791;0;Bottom;Copper Fill66
59;;;33.9374;-30.2617;0;Bottom;Via3
60;;;20.2184;-66.7467;0;Bottom;Copper Fill71
61;;;20.1041;-80.7929;0;Bottom;Copper Fill48
62;;;32.3596;-96.2614;0;Bottom;Copper Fill9
63;;;28.575;-62.8605;0;Bottom;Copper Fill28
64;;PG203J [THT];16.6329;-33.6101;180;Bottom;PJ6
65;;THT;27.4647;-61.6579;0;Bottom;R4
66;66k;THT;15.8045;-106.045;20.437;Bottom;R36
67;100k;THT;16.4412;-108.416;19.9401;Bottom;R39
68;;;16.7217;-8.81296;0;Bottom;Hole42
69;66k;THT;1.93181;-87.4776;90;Bottom;R29
70;;;31.75;-104.516;0;Bottom;Copper Fill7
71;;;16.7132;-99.5126;0;Bottom;Copper Fill10
72;;THT;6.63222;-55.3091;90;Bottom;J3
73;66k;THT;25.5724;-85.8689;90;Bottom;R31
74;;;23.6219;-30.2052;0;Bottom;Via1
